time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.3125,0.944792,313.125,0
0.1,1,0.004666388,2.3125,0.944792,313.125,0
0.2,2,0.011842784,2.3125,0.944792,313.125,0
0.3,3,0.021088312,2.3125,0.944792,313.125,0
0.4,4,0.031309057,2.3125,0.944792,313.125,0
0.5,5,0.042062957,2.3125,0.944792,313.125,0
0.6,6,0.053064298,2.3125,0.944792,313.125,0
0.7,7,0.064156117,2.3125,0.944792,313.125,0
0.8,8,0.075305404,2.3125,0.944792,313.125,0
0.9,9,0.086458085,2.3125,0.944792,313.125,0
1,10,0.09757548,2.3125,0.944792,313.125,0
1.1,11,0.108657503,2.3125,0.944792,313.125,0
1.2,12,0.11969626,2.3125,0.944792,313.125,0
1.3,13,0.130675684,2.3125,0.944792,313.125,0
1.4,14,0.141603793,2.3125,0.944792,313.125,0
1.5,15,0.152472242,2.3125,0.944792,313.125,0
1.6,16,0.163279029,2.3125,0.944792,313.125,0
1.7,17,0.174020844,2.3125,0.944792,313.125,0
1.8,18,0.184703365,2.3125,0.944792,313.125,0
1.9,19,0.195325525,2.3125,0.944792,313.125,0
2,20,0.205887826,2.3125,0.944792,313.125,0
2.1,21,0.216387835,2.3125,0.944792,313.125,0
2.2,22,0.226827396,2.3125,0.944792,313.125,0
2.3,23,0.237208104,2.3125,0.944792,313.125,0
2.4,24,0.247523699,2.3125,0.944792,313.125,0
2.5,25,0.257782308,2.3125,0.944792,313.125,0
2.6,26,0.267981736,2.3125,0.944792,313.125,0
2.7,27,0.278122677,2.3125,0.944792,313.125,0
2.8,28,0.288204209,2.3125,0.944792,313.125,0
2.9,29,0.298227488,2.3125,0.944792,313.125,0
3,30,0.308191172,2.3125,0.944792,313.125,0
3.1,31,0.318098453,2.3125,0.944792,313.125,0
3.2,32,0.327944971,2.3125,0.944792,313.125,0
3.3,33,0.337734645,2.3125,0.944792,313.125,0
3.4,34,0.347467303,2.3125,0.944792,313.125,0
3.5,35,0.357143072,2.3125,0.944792,313.125,0
3.6,36,0.366762363,2.3125,0.944792,313.125,0
3.7,37,0.37632533,2.3125,0.944792,313.125,0
3.8,38,0.385832322,2.3125,0.944792,313.125,0
3.9,39,0.395284609,2.3125,0.944792,313.125,0
4,40,0.404682328,2.3125,0.944792,313.125,0
4.1,41,0.414025454,2.3125,0.944792,313.125,0
4.2,42,0.42331394,2.3125,0.944792,313.125,0
