time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.0625,1.563542,365.625,0
0.1,1,0.005528487,2.0625,1.563542,365.625,0
0.2,2,0.016170268,2.0625,1.563542,365.625,0
0.3,3,0.029910501,2.0625,1.563542,365.625,0
0.4,4,0.045223721,2.0625,1.563542,365.625,0
0.5,5,0.061235465,2.0625,1.563542,365.625,0
0.6,6,0.077517138,2.0625,1.563542,365.625,0
0.7,7,0.093848065,2.0625,1.563542,365.625,0
0.8,8,0.11012621,2.0625,1.563542,365.625,0
0.9,9,0.126295771,2.0625,1.563542,365.625,0
1,10,0.142335345,2.0625,1.563542,365.625,0
1.1,11,0.158234723,2.0625,1.563542,365.625,0
1.2,12,0.173986925,2.0625,1.563542,365.625,0
1.3,13,0.189586241,2.0625,1.563542,365.625,0
1.4,14,0.205036617,2.0625,1.563542,365.625,0
1.5,15,0.220336785,2.0625,1.563542,365.625,0
1.6,16,0.235486219,2.0625,1.563542,365.625,0
1.7,17,0.250484738,2.0625,1.563542,365.625,0
1.8,18,0.265334727,2.0625,1.563542,365.625,0
1.9,19,0.280036156,2.0625,1.563542,365.625,0
2,20,0.294589008,2.0625,1.563542,365.625,0
2.1,21,0.308993883,2.0625,1.563542,365.625,0
2.2,22,0.323251176,2.0625,1.563542,365.625,0
2.3,23,0.337361884,2.0625,1.563542,365.625,0
2.4,24,0.351328571,2.0625,1.563542,365.625,0
2.5,25,0.36515159,2.0625,1.563542,365.625,0
2.6,26,0.378831374,2.0625,1.563542,365.625,0
2.7,27,0.39236847,2.0625,1.563542,365.625,0
2.8,28,0.405763626,2.0625,1.563542,365.625,0
2.9,29,0.419017747,2.0625,1.563542,365.625,0
3,30,0.432132016,2.0625,1.563542,365.625,0
3.1,31,0.445108751,2.0625,1.563542,365.625,0
3.2,32,0.457947592,2.0625,1.563542,365.625,0
3.3,33,0.470650255,2.0625,1.563542,365.625,0
3.4,34,0.483218179,2.0625,1.563542,365.625,0
3.5,35,0.495652018,2.0625,1.563542,365.625,0
3.6,36,0.507952512,2.0625,1.563542,365.625,0
3.7,37,0.520120619,2.0625,1.563542,365.625,0
3.8,38,0.532157504,2.0625,1.563542,365.625,0
3.9,39,0.544065493,2.0625,1.563542,365.625,0
4,40,0.555824293,2.0625,1.563542,365.625,0
4.1,41,0.567503986,2.0625,1.563542,365.625,0
4.2,42,0.5790404,2.0625,1.563542,365.625,0
4.3,43,0.590444242,2.0625,1.563542,365.625,0
4.4,44,0.601721137,2.0625,1.563542,365.625,0
4.5,45,0.6128154,2.0625,1.563542,365.625,0
4.6,46,0.623876168,2.0625,1.563542,365.625,0
4.7,47,0.634801776,2.0625,1.563542,365.625,0
4.8,48,0.645576842,2.0625,1.563542,365.625,0
4.9,49,0.656278802,2.0625,1.563542,365.625,0
5,50,0.666845177,2.0625,1.563542,365.625,0
5.1,51,0.677233704,2.0625,1.563542,365.625,0
5.2,52,0.687440747,2.0625,1.563542,365.625,0
5.3,53,0.697525511,2.0625,1.563542,365.625,0
5.4,54,0.707535506,2.0625,1.563542,365.625,0
5.5,55,0.717449992,2.0625,1.563542,365.625,0
5.6,56,0.727267498,2.0625,1.563542,365.625,0
5.7,57,0.73685928,2.0625,1.563542,365.625,0
5.8,58,0.746465987,2.0625,1.563542,365.625,0
5.9,59,0.755940824,2.0625,1.563542,365.625,0
6,60,0.7653475,2.0625,1.563542,365.625,0
6.1,61,0.774613828,2.0625,1.563542,365.625,0
6.2,62,0.783812551,2.0625,1.563542,365.625,0
6.3,63,0.792914672,2.0625,1.563542,365.625,0
6.4,64,0.801857703,2.0625,1.563542,365.625,0
6.5,65,0.810752183,2.0625,1.563542,365.625,0
6.6,66,0.819480608,2.0625,1.563542,365.625,0
6.7,67,0.828122382,2.0625,1.563542,365.625,0
6.8,68,0.836726894,2.0625,1.563542,365.625,0
6.9,69,0.845236057,2.0625,1.563542,365.625,0
7,70,0.853543315,2.0625,1.563542,365.625,0
7.1,71,0.861790107,2.0625,1.563542,365.625,0
7.2,72,0.869908857,2.0625,1.563542,365.625,0
7.3,73,0.877939436,2.0625,1.563542,365.625,0
7.4,74,0.88588383,2.0625,1.563542,365.625,0
7.5,75,0.893837938,2.0625,1.563542,365.625,0
7.6,76,0.901685666,2.0625,1.563542,365.625,0
7.7,77,0.909432103,2.0625,1.563542,365.625,0
7.8,78,0.917098327,2.0625,1.563542,365.625,0
7.9,79,0.924640343,2.0625,1.563542,365.625,0
8,80,0.932106048,2.0625,1.563542,365.625,0
8.1,81,0.939444462,2.0625,1.563542,365.625,0
8.2,82,0.946757601,2.0625,1.563542,365.625,0
8.3,83,0.953932322,2.0625,1.563542,365.625,0
8.4,84,0.961114208,2.0625,1.563542,365.625,0
8.5,85,0.968221343,2.0625,1.563542,365.625,0
8.6,86,0.975244059,2.0625,1.563542,365.625,0
8.7,87,0.982165794,2.0625,1.563542,365.625,0
8.8,88,0.989007561,2.0625,1.563542,365.625,0
8.9,89,0.995789322,2.0625,1.563542,365.625,0
9,90,1.002493994,2.0625,1.563542,365.625,0
9.1,91,1.00909715,2.0625,1.563542,365.625,0
