time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.8125,1.151042,356.875,0
0.1,1,0.005662651,2.8125,1.151042,356.875,0
0.2,2,0.016201669,2.8125,1.151042,356.875,0
0.3,3,0.029875813,2.8125,1.151042,356.875,0
0.4,4,0.0452408,2.8125,1.151042,356.875,0
0.5,5,0.061232103,2.8125,1.151042,356.875,0
0.6,6,0.07758275,2.8125,1.151042,356.875,0
0.7,7,0.094067644,2.8125,1.151042,356.875,0
0.8,8,0.110566455,2.8125,1.151042,356.875,0
0.9,9,0.127010642,2.8125,1.151042,356.875,0
1,10,0.143373684,2.8125,1.151042,356.875,0
1.1,11,0.159640332,2.8125,1.151042,356.875,0
1.2,12,0.17579623,2.8125,1.151042,356.875,0
1.3,13,0.191838645,2.8125,1.151042,356.875,0
1.4,14,0.207766909,2.8125,1.151042,356.875,0
1.5,15,0.22358085,2.8125,1.151042,356.875,0
1.6,16,0.239274505,2.8125,1.151042,356.875,0
1.7,17,0.254855549,2.8125,1.151042,356.875,0
1.8,18,0.270316658,2.8125,1.151042,356.875,0
1.9,19,0.285661327,2.8125,1.151042,356.875,0
2,20,0.30089184,2.8125,1.151042,356.875,0
2.1,21,0.316007937,2.8125,1.151042,356.875,0
2.2,22,0.331005158,2.8125,1.151042,356.875,0
2.3,23,0.34588886,2.8125,1.151042,356.875,0
2.4,24,0.360658813,2.8125,1.151042,356.875,0
2.5,25,0.37531508,2.8125,1.151042,356.875,0
2.6,26,0.389857896,2.8125,1.151042,356.875,0
2.7,27,0.404289537,2.8125,1.151042,356.875,0
2.8,28,0.418609835,2.8125,1.151042,356.875,0
2.9,29,0.432818729,2.8125,1.151042,356.875,0
3,30,0.446916473,2.8125,1.151042,356.875,0
3.1,31,0.460903412,2.8125,1.151042,356.875,0
3.2,32,0.474780118,2.8125,1.151042,356.875,0
3.3,33,0.488547048,2.8125,1.151042,356.875,0
3.4,34,0.502204861,2.8125,1.151042,356.875,0
3.5,35,0.515754252,2.8125,1.151042,356.875,0
3.6,36,0.529195811,2.8125,1.151042,356.875,0
3.7,37,0.54253016,2.8125,1.151042,356.875,0
3.8,38,0.555757898,2.8125,1.151042,356.875,0
3.9,39,0.5688812,2.8125,1.151042,356.875,0
4,40,0.581900879,2.8125,1.151042,356.875,0
4.1,41,0.594816657,2.8125,1.151042,356.875,0
4.2,42,0.607629042,2.8125,1.151042,356.875,0
4.3,43,0.620338409,2.8125,1.151042,356.875,0
4.4,44,0.63294541,2.8125,1.151042,356.875,0
4.5,45,0.645450775,2.8125,1.151042,356.875,0
4.6,46,0.657855036,2.8125,1.151042,356.875,0
4.7,47,0.670159091,2.8125,1.151042,356.875,0
4.8,48,0.682363507,2.8125,1.151042,356.875,0
4.9,49,0.694469018,2.8125,1.151042,356.875,0
5,50,0.706477528,2.8125,1.151042,356.875,0
5.1,51,0.718390005,2.8125,1.151042,356.875,0
5.2,52,0.730206323,2.8125,1.151042,356.875,0
5.3,53,0.741927117,2.8125,1.151042,356.875,0
5.4,54,0.753552553,2.8125,1.151042,356.875,0
5.5,55,0.765083687,2.8125,1.151042,356.875,0
5.6,56,0.776520818,2.8125,1.151042,356.875,0
5.7,57,0.787864767,2.8125,1.151042,356.875,0
5.8,58,0.79911633,2.8125,1.151042,356.875,0
5.9,59,0.810276056,2.8125,1.151042,356.875,0
6,60,0.821344709,2.8125,1.151042,356.875,0
6.1,61,0.832323138,2.8125,1.151042,356.875,0
6.2,62,0.843212741,2.8125,1.151042,356.875,0
6.3,63,0.854014873,2.8125,1.151042,356.875,0
6.4,64,0.864729519,2.8125,1.151042,356.875,0
6.5,65,0.875357087,2.8125,1.151042,356.875,0
6.6,66,0.88589789,2.8125,1.151042,356.875,0
6.7,67,0.896316027,2.8125,1.151042,356.875,0
6.8,68,0.906712286,2.8125,1.151042,356.875,0
6.9,69,0.9170095,2.8125,1.151042,356.875,0
7,70,0.927215863,2.8125,1.151042,356.875,0
7.1,71,0.93731112,2.8125,1.151042,356.875,0
7.2,72,0.947376307,2.8125,1.151042,356.875,0
7.3,73,0.957340045,2.8125,1.151042,356.875,0
7.4,74,0.967215637,2.8125,1.151042,356.875,0
7.5,75,0.976987596,2.8125,1.151042,356.875,0
7.6,76,0.986728355,2.8125,1.151042,356.875,0
7.7,77,0.996369795,2.8125,1.151042,356.875,0
7.8,78,1.005893315,2.8125,1.151042,356.875,0
7.9,79,1.015396317,2.8125,1.151042,356.875,0
8,80,1.024805474,2.8125,1.151042,356.875,0
8.1,81,1.034099491,2.8125,1.151042,356.875,0
8.2,82,1.043372394,2.8125,1.151042,356.875,0
8.3,83,1.052553098,2.8125,1.151042,356.875,0
8.4,84,1.061633888,2.8125,1.151042,356.875,0
8.5,85,1.070683725,2.8125,1.151042,356.875,0
8.6,86,1.079639527,2.8125,1.151042,356.875,0
8.7,87,1.088502371,2.8125,1.151042,356.875,0
8.8,88,1.097278267,2.8125,1.151042,356.875,0
8.9,89,1.105938759,2.8125,1.151042,356.875,0
9,90,1.114545944,2.8125,1.151042,356.875,0
9.1,91,1.123214945,2.8125,1.151042,356.875,0
9.2,92,1.131738565,2.8125,1.151042,356.875,0
9.3,93,1.140156256,2.8125,1.151042,356.875,0
9.4,94,1.148442177,2.8125,1.151042,356.875,0
9.5,95,1.156791745,2.8125,1.151042,356.875,0
9.6,96,1.165054823,2.8125,1.151042,356.875,0
9.7,97,1.173211554,2.8125,1.151042,356.875,0
9.8,98,1.181350115,2.8125,1.151042,356.875,0
9.9,99,1.189394147,2.8125,1.151042,356.875,0
10,100,1.197292788,2.8125,1.151042,356.875,0
10.1,101,1.205091838,2.8125,1.151042,356.875,0
10.2,102,1.212854442,2.8125,1.151042,356.875,0
10.3,103,1.220604501,2.8125,1.151042,356.875,0
10.4,104,1.228279817,2.8125,1.151042,356.875,0
10.5,105,1.235867644,2.8125,1.151042,356.875,0
10.6,106,1.2433896,2.8125,1.151042,356.875,0
10.7,107,1.250853199,2.8125,1.151042,356.875,0
10.8,108,1.25831886,2.8125,1.151042,356.875,0
10.9,109,1.265734083,2.8125,1.151042,356.875,0
11,110,1.273076218,2.8125,1.151042,356.875,0
11.1,111,1.280313134,2.8125,1.151042,356.875,0
11.2,112,1.287512691,2.8125,1.151042,356.875,0
11.3,113,1.294654051,2.8125,1.151042,356.875,0
11.4,114,1.301765386,2.8125,1.151042,356.875,0
11.5,115,1.308815146,2.8125,1.151042,356.875,0
11.6,116,1.315765232,2.8125,1.151042,356.875,0
11.7,117,1.322672471,2.8125,1.151042,356.875,0
11.8,118,1.329545799,2.8125,1.151042,356.875,0
11.9,119,1.33638053,2.8125,1.151042,356.875,0
12,120,1.343159887,2.8125,1.151042,356.875,0
12.1,121,1.349883287,2.8125,1.151042,356.875,0
12.2,122,1.356540455,2.8125,1.151042,356.875,0
12.3,123,1.363142739,2.8125,1.151042,356.875,0
12.4,124,1.36970206,2.8125,1.151042,356.875,0
12.5,125,1.376207753,2.8125,1.151042,356.875,0
12.6,126,1.382660718,2.8125,1.151042,356.875,0
12.7,127,1.389061458,2.8125,1.151042,356.875,0
12.8,128,1.395410338,2.8125,1.151042,356.875,0
12.9,129,1.401660413,2.8125,1.151042,356.875,0
13,130,1.407852296,2.8125,1.151042,356.875,0
13.1,131,1.413994409,2.8125,1.151042,356.875,0
13.2,132,1.420088551,2.8125,1.151042,356.875,0
13.3,133,1.426134586,2.8125,1.151042,356.875,0
13.4,134,1.432132724,2.8125,1.151042,356.875,0
13.5,135,1.4380832,2.8125,1.151042,356.875,0
13.6,136,1.443985809,2.8125,1.151042,356.875,0
13.7,137,1.449874784,2.8125,1.151042,356.875,0
13.8,138,1.455723095,2.8125,1.151042,356.875,0
13.9,139,1.461532018,2.8125,1.151042,356.875,0
14,140,1.46729332,2.8125,1.151042,356.875,0
14.1,141,1.473006493,2.8125,1.151042,356.875,0
14.2,142,1.478672088,2.8125,1.151042,356.875,0
14.3,143,1.484291152,2.8125,1.151042,356.875,0
14.4,144,1.489864669,2.8125,1.151042,356.875,0
14.5,145,1.495392899,2.8125,1.151042,356.875,0
14.6,146,1.50087626,2.8125,1.151042,356.875,0
14.7,147,1.506315468,2.8125,1.151042,356.875,0
14.8,148,1.511710677,2.8125,1.151042,356.875,0
14.9,149,1.517042625,2.8125,1.151042,356.875,0
15,150,1.522336491,2.8125,1.151042,356.875,0
15.1,151,1.527557706,2.8125,1.151042,356.875,0
15.2,152,1.532735496,2.8125,1.151042,356.875,0
15.3,153,1.537872582,2.8125,1.151042,356.875,0
15.4,154,1.542984838,2.8125,1.151042,356.875,0
15.5,155,1.548071224,2.8125,1.151042,356.875,0
15.6,156,1.553107444,2.8125,1.151042,356.875,0
15.7,157,1.558112198,2.8125,1.151042,356.875,0
15.8,158,1.563077356,2.8125,1.151042,356.875,0
15.9,159,1.568008586,2.8125,1.151042,356.875,0
16,160,1.572868354,2.8125,1.151042,356.875,0
16.1,161,1.577683311,2.8125,1.151042,356.875,0
16.2,162,1.582459966,2.8125,1.151042,356.875,0
16.3,163,1.587198968,2.8125,1.151042,356.875,0
16.4,164,1.591900463,2.8125,1.151042,356.875,0
16.5,165,1.596582537,2.8125,1.151042,356.875,0
16.6,166,1.60121518,2.8125,1.151042,356.875,0
16.7,167,1.60580524,2.8125,1.151042,356.875,0
16.8,168,1.610357505,2.8125,1.151042,356.875,0
16.9,169,1.614873166,2.8125,1.151042,356.875,0
17,170,1.619353023,2.8125,1.151042,356.875,0
17.1,171,1.623819155,2.8125,1.151042,356.875,0
17.2,172,1.628241471,2.8125,1.151042,356.875,0
17.3,173,1.632645354,2.8125,1.151042,356.875,0
17.4,174,1.637018341,2.8125,1.151042,356.875,0
17.5,175,1.641355562,2.8125,1.151042,356.875,0
17.6,176,1.645657038,2.8125,1.151042,356.875,0
17.7,177,1.649923558,2.8125,1.151042,356.875,0
