time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.5625,0.532292,321.875,0
0.1,1,0.002333294,2.5625,0.532292,321.875,0
0.2,2,0.007317697,2.5625,0.532292,321.875,0
0.3,3,0.013249744,2.5625,0.532292,321.875,0
0.4,4,0.019522852,2.5625,0.532292,321.875,0
0.5,5,0.025726303,2.5625,0.532292,321.875,0
0.6,6,0.032061826,2.5625,0.532292,321.875,0
0.7,7,0.038765723,2.5625,0.532292,321.875,0
0.8,8,0.0452534,2.5625,0.532292,321.875,0
0.9,9,0.052028023,2.5625,0.532292,321.875,0
1,10,0.058820362,2.5625,0.532292,321.875,0
1.1,11,0.065499348,2.5625,0.532292,321.875,0
1.2,12,0.072268854,2.5625,0.532292,321.875,0
1.3,13,0.079148641,2.5625,0.532292,321.875,0
1.4,14,0.085768247,2.5625,0.532292,321.875,0
1.5,15,0.092396752,2.5625,0.532292,321.875,0
1.6,16,0.098983785,2.5625,0.532292,321.875,0
1.7,17,0.10557349,2.5625,0.532292,321.875,0
1.8,18,0.112234267,2.5625,0.532292,321.875,0
1.9,19,0.11887073,2.5625,0.532292,321.875,0
2,20,0.125489032,2.5625,0.532292,321.875,0
2.1,21,0.132243305,2.5625,0.532292,321.875,0
2.2,22,0.13900976,2.5625,0.532292,321.875,0
2.3,23,0.145565122,2.5625,0.532292,321.875,0
2.4,24,0.152200188,2.5625,0.532292,321.875,0
2.5,25,0.158886298,2.5625,0.532292,321.875,0
2.6,26,0.165544901,2.5625,0.532292,321.875,0
2.7,27,0.172194336,2.5625,0.532292,321.875,0
2.8,28,0.178799576,2.5625,0.532292,321.875,0
2.9,29,0.185366526,2.5625,0.532292,321.875,0
3,30,0.191921417,2.5625,0.532292,321.875,0
3.1,31,0.19845342,2.5625,0.532292,321.875,0
3.2,32,0.204961872,2.5625,0.532292,321.875,0
3.3,33,0.211423118,2.5625,0.532292,321.875,0
3.4,34,0.21791105,2.5625,0.532292,321.875,0
3.5,35,0.224360763,2.5625,0.532292,321.875,0
3.6,36,0.230737686,2.5625,0.532292,321.875,0
3.7,37,0.237170395,2.5625,0.532292,321.875,0
3.8,38,0.243552989,2.5625,0.532292,321.875,0
3.9,39,0.249908697,2.5625,0.532292,321.875,0
4,40,0.256190671,2.5625,0.532292,321.875,0
4.1,41,0.26253867,2.5625,0.532292,321.875,0
4.2,42,0.268843891,2.5625,0.532292,321.875,0
4.3,43,0.27510254,2.5625,0.532292,321.875,0
4.4,44,0.281387783,2.5625,0.532292,321.875,0
4.5,45,0.287640899,2.5625,0.532292,321.875,0
4.6,46,0.293848206,2.5625,0.532292,321.875,0
4.7,47,0.300063672,2.5625,0.532292,321.875,0
4.8,48,0.306248146,2.5625,0.532292,321.875,0
4.9,49,0.312365019,2.5625,0.532292,321.875,0
5,50,0.3185094,2.5625,0.532292,321.875,0
5.1,51,0.324623919,2.5625,0.532292,321.875,0
5.2,52,0.330696764,2.5625,0.532292,321.875,0
5.3,53,0.336777981,2.5625,0.532292,321.875,0
5.4,54,0.342831408,2.5625,0.532292,321.875,0
5.5,55,0.348836104,2.5625,0.532292,321.875,0
5.6,56,0.354849333,2.5625,0.532292,321.875,0
5.7,57,0.360834774,2.5625,0.532292,321.875,0
5.8,58,0.366781245,2.5625,0.532292,321.875,0
5.9,59,0.372726894,2.5625,0.532292,321.875,0
6,60,0.378643132,2.5625,0.532292,321.875,0
6.1,61,0.384513849,2.5625,0.532292,321.875,0
6.2,62,0.390391316,2.5625,0.532292,321.875,0
6.3,63,0.3962431,2.5625,0.532292,321.875,0
6.4,64,0.402051719,2.5625,0.532292,321.875,0
6.5,65,0.407777202,2.5625,0.532292,321.875,0
6.6,66,0.41338304,2.5625,0.532292,321.875,0
6.7,67,0.41896613,2.5625,0.532292,321.875,0
6.8,68,0.424537237,2.5625,0.532292,321.875,0
6.9,69,0.430097333,2.5625,0.532292,321.875,0
7,70,0.435721855,2.5625,0.532292,321.875,0
7.1,71,0.441352627,2.5625,0.532292,321.875,0
7.2,72,0.446860878,2.5625,0.532292,321.875,0
7.3,73,0.452349562,2.5625,0.532292,321.875,0
7.4,74,0.457819902,2.5625,0.532292,321.875,0
7.5,75,0.463377486,2.5625,0.532292,321.875,0
7.6,76,0.468913301,2.5625,0.532292,321.875,0
7.7,77,0.474443296,2.5625,0.532292,321.875,0
7.8,78,0.479938888,2.5625,0.532292,321.875,0
7.9,79,0.485404203,2.5625,0.532292,321.875,0
8,80,0.490851142,2.5625,0.532292,321.875,0
8.1,81,0.496288492,2.5625,0.532292,321.875,0
8.2,82,0.50158968,2.5625,0.532292,321.875,0
8.3,83,0.506979933,2.5625,0.532292,321.875,0
8.4,84,0.512319861,2.5625,0.532292,321.875,0
8.5,85,0.517674048,2.5625,0.532292,321.875,0
8.6,86,0.522900328,2.5625,0.532292,321.875,0
8.7,87,0.528176837,2.5625,0.532292,321.875,0
8.8,88,0.533437633,2.5625,0.532292,321.875,0
8.9,89,0.538698958,2.5625,0.532292,321.875,0
9,90,0.543961589,2.5625,0.532292,321.875,0
9.1,91,0.549193682,2.5625,0.532292,321.875,0
9.2,92,0.554396913,2.5625,0.532292,321.875,0
9.3,93,0.559605781,2.5625,0.532292,321.875,0
9.4,94,0.564798709,2.5625,0.532292,321.875,0
9.5,95,0.569970657,2.5625,0.532292,321.875,0
9.6,96,0.575122041,2.5625,0.532292,321.875,0
9.7,97,0.580254376,2.5625,0.532292,321.875,0
9.8,98,0.585367214,2.5625,0.532292,321.875,0
9.9,99,0.590459569,2.5625,0.532292,321.875,0
10,100,0.595531808,2.5625,0.532292,321.875,0
10.1,101,0.600584453,2.5625,0.532292,321.875,0
10.2,102,0.605617941,2.5625,0.532292,321.875,0
10.3,103,0.610610698,2.5625,0.532292,321.875,0
10.4,104,0.615605835,2.5625,0.532292,321.875,0
10.5,105,0.620560941,2.5625,0.532292,321.875,0
10.6,106,0.625471344,2.5625,0.532292,321.875,0
10.7,107,0.63039139,2.5625,0.532292,321.875,0
10.8,108,0.635309466,2.5625,0.532292,321.875,0
10.9,109,0.640212734,2.5625,0.532292,321.875,0
11,110,0.645087703,2.5625,0.532292,321.875,0
11.1,111,0.649930927,2.5625,0.532292,321.875,0
11.2,112,0.654749242,2.5625,0.532292,321.875,0
11.3,113,0.659573797,2.5625,0.532292,321.875,0
11.4,114,0.664384985,2.5625,0.532292,321.875,0
11.5,115,0.669168563,2.5625,0.532292,321.875,0
11.6,116,0.673915671,2.5625,0.532292,321.875,0
11.7,117,0.678658073,2.5625,0.532292,321.875,0
11.8,118,0.68335283,2.5625,0.532292,321.875,0
11.9,119,0.688027083,2.5625,0.532292,321.875,0
12,120,0.692684748,2.5625,0.532292,321.875,0
12.1,121,0.697341957,2.5625,0.532292,321.875,0
12.2,122,0.701987723,2.5625,0.532292,321.875,0
12.3,123,0.70659771,2.5625,0.532292,321.875,0
12.4,124,0.711186405,2.5625,0.532292,321.875,0
12.5,125,0.715774502,2.5625,0.532292,321.875,0
12.6,126,0.720351955,2.5625,0.532292,321.875,0
12.7,127,0.724893258,2.5625,0.532292,321.875,0
12.8,128,0.729428734,2.5625,0.532292,321.875,0
12.9,129,0.733965457,2.5625,0.532292,321.875,0
13,130,0.7384968,2.5625,0.532292,321.875,0
13.1,131,0.742970913,2.5625,0.532292,321.875,0
13.2,132,0.747438155,2.5625,0.532292,321.875,0
13.3,133,0.751913656,2.5625,0.532292,321.875,0
13.4,134,0.756368319,2.5625,0.532292,321.875,0
13.5,135,0.760774083,2.5625,0.532292,321.875,0
13.6,136,0.765158223,2.5625,0.532292,321.875,0
13.7,137,0.769526641,2.5625,0.532292,321.875,0
13.8,138,0.773879357,2.5625,0.532292,321.875,0
13.9,139,0.778216374,2.5625,0.532292,321.875,0
14,140,0.782551727,2.5625,0.532292,321.875,0
14.1,141,0.786886604,2.5625,0.532292,321.875,0
14.2,142,0.791177944,2.5625,0.532292,321.875,0
14.3,143,0.795448289,2.5625,0.532292,321.875,0
14.4,144,0.799702232,2.5625,0.532292,321.875,0
14.5,145,0.803941633,2.5625,0.532292,321.875,0
14.6,146,0.808165662,2.5625,0.532292,321.875,0
14.7,147,0.812374171,2.5625,0.532292,321.875,0
14.8,148,0.816567084,2.5625,0.532292,321.875,0
14.9,149,0.820744328,2.5625,0.532292,321.875,0
15,150,0.824925429,2.5625,0.532292,321.875,0
15.1,151,0.829075308,2.5625,0.532292,321.875,0
15.2,152,0.833230472,2.5625,0.532292,321.875,0
15.3,153,0.837364562,2.5625,0.532292,321.875,0
15.4,154,0.841502615,2.5625,0.532292,321.875,0
15.5,155,0.845625124,2.5625,0.532292,321.875,0
15.6,156,0.849696378,2.5625,0.532292,321.875,0
15.7,157,0.853747,2.5625,0.532292,321.875,0
15.8,158,0.857810667,2.5625,0.532292,321.875,0
15.9,159,0.861870441,2.5625,0.532292,321.875,0
16,160,0.865915438,2.5625,0.532292,321.875,0
16.1,161,0.86993717,2.5625,0.532292,321.875,0
16.2,162,0.873915359,2.5625,0.532292,321.875,0
16.3,163,0.877891968,2.5625,0.532292,321.875,0
