time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.9375,1.357292,339.375,0
0.1,1,0.006876311,2.9375,1.357292,339.375,0
0.2,2,0.019979094,2.9375,1.357292,339.375,0
0.3,3,0.036909037,2.9375,1.357292,339.375,0
0.4,4,0.055752759,2.9375,1.357292,339.375,0
0.5,5,0.075522176,2.9375,1.357292,339.375,0
0.6,6,0.0956868,2.9375,1.357292,339.375,0
0.7,7,0.115950884,2.9375,1.357292,339.375,0
0.8,8,0.136183771,2.9375,1.357292,339.375,0
0.9,9,0.156329521,2.9375,1.357292,339.375,0
1,10,0.176341435,2.9375,1.357292,339.375,0
1.1,11,0.196211607,2.9375,1.357292,339.375,0
1.2,12,0.215924742,2.9375,1.357292,339.375,0
1.3,13,0.235484606,2.9375,1.357292,339.375,0
1.4,14,0.254886105,2.9375,1.357292,339.375,0
1.5,15,0.27412824,2.9375,1.357292,339.375,0
1.6,16,0.293211078,2.9375,1.357292,339.375,0
1.7,17,0.31213719,2.9375,1.357292,339.375,0
1.8,18,0.330906521,2.9375,1.357292,339.375,0
1.9,19,0.349519144,2.9375,1.357292,339.375,0
2,20,0.367977862,2.9375,1.357292,339.375,0
2.1,21,0.386282834,2.9375,1.357292,339.375,0
2.2,22,0.404434184,2.9375,1.357292,339.375,0
2.3,23,0.422432226,2.9375,1.357292,339.375,0
2.4,24,0.440277702,2.9375,1.357292,339.375,0
2.5,25,0.457971751,2.9375,1.357292,339.375,0
2.6,26,0.475515088,2.9375,1.357292,339.375,0
2.7,27,0.492910792,2.9375,1.357292,339.375,0
2.8,28,0.510159626,2.9375,1.357292,339.375,0
2.9,29,0.527261662,2.9375,1.357292,339.375,0
3,30,0.544217348,2.9375,1.357292,339.375,0
3.1,31,0.561027805,2.9375,1.357292,339.375,0
3.2,32,0.577693711,2.9375,1.357292,339.375,0
3.3,33,0.59421642,2.9375,1.357292,339.375,0
3.4,34,0.610596512,2.9375,1.357292,339.375,0
3.5,35,0.626835361,2.9375,1.357292,339.375,0
3.6,36,0.64293395,2.9375,1.357292,339.375,0
3.7,37,0.658893244,2.9375,1.357292,339.375,0
3.8,38,0.674714348,2.9375,1.357292,339.375,0
3.9,39,0.690399869,2.9375,1.357292,339.375,0
4,40,0.705951204,2.9375,1.357292,339.375,0
4.1,41,0.721368393,2.9375,1.357292,339.375,0
4.2,42,0.73665217,2.9375,1.357292,339.375,0
4.3,43,0.751803201,2.9375,1.357292,339.375,0
4.4,44,0.766822492,2.9375,1.357292,339.375,0
4.5,45,0.781711081,2.9375,1.357292,339.375,0
4.6,46,0.796469928,2.9375,1.357292,339.375,0
4.7,47,0.811100232,2.9375,1.357292,339.375,0
4.8,48,0.82560291,2.9375,1.357292,339.375,0
4.9,49,0.839978916,2.9375,1.357292,339.375,0
5,50,0.854230774,2.9375,1.357292,339.375,0
5.1,51,0.868359767,2.9375,1.357292,339.375,0
5.2,52,0.882366331,2.9375,1.357292,339.375,0
5.3,53,0.896250669,2.9375,1.357292,339.375,0
5.4,54,0.910013748,2.9375,1.357292,339.375,0
5.5,55,0.923656551,2.9375,1.357292,339.375,0
5.6,56,0.937180019,2.9375,1.357292,339.375,0
5.7,57,0.95058502,2.9375,1.357292,339.375,0
5.8,58,0.963872567,2.9375,1.357292,339.375,0
5.9,59,0.977043643,2.9375,1.357292,339.375,0
6,60,0.990100131,2.9375,1.357292,339.375,0
6.1,61,1.003044258,2.9375,1.357292,339.375,0
6.2,62,1.015875561,2.9375,1.357292,339.375,0
6.3,63,1.028594804,2.9375,1.357292,339.375,0
6.4,64,1.041202589,2.9375,1.357292,339.375,0
6.5,65,1.053645299,2.9375,1.357292,339.375,0
6.6,66,1.066071003,2.9375,1.357292,339.375,0
6.7,67,1.078366388,2.9375,1.357292,339.375,0
6.8,68,1.090544814,2.9375,1.357292,339.375,0
6.9,69,1.102554485,2.9375,1.357292,339.375,0
7,70,1.11455226,2.9375,1.357292,339.375,0
7.1,71,1.126423248,2.9375,1.357292,339.375,0
7.2,72,1.138130977,2.9375,1.357292,339.375,0
7.3,73,1.149819534,2.9375,1.357292,339.375,0
7.4,74,1.161381607,2.9375,1.357292,339.375,0
7.5,75,1.172810577,2.9375,1.357292,339.375,0
7.6,76,1.184196364,2.9375,1.357292,339.375,0
7.7,77,1.195452434,2.9375,1.357292,339.375,0
7.8,78,1.206553198,2.9375,1.357292,339.375,0
7.9,79,1.217637979,2.9375,1.357292,339.375,0
8,80,1.228601967,2.9375,1.357292,339.375,0
8.1,81,1.239429947,2.9375,1.357292,339.375,0
8.2,82,1.250229169,2.9375,1.357292,339.375,0
8.3,83,1.260904712,2.9375,1.357292,339.375,0
8.4,84,1.271453273,2.9375,1.357292,339.375,0
8.5,85,1.281968561,2.9375,1.357292,339.375,0
8.6,86,1.292366085,2.9375,1.357292,339.375,0
8.7,87,1.302633153,2.9375,1.357292,339.375,0
8.8,88,1.312753382,2.9375,1.357292,339.375,0
8.9,89,1.322750457,2.9375,1.357292,339.375,0
9,90,1.332622645,2.9375,1.357292,339.375,0
9.1,91,1.342474252,2.9375,1.357292,339.375,0
9.2,92,1.352266301,2.9375,1.357292,339.375,0
9.3,93,1.361954214,2.9375,1.357292,339.375,0
9.4,94,1.371565124,2.9375,1.357292,339.375,0
9.5,95,1.381104721,2.9375,1.357292,339.375,0
9.6,96,1.390603696,2.9375,1.357292,339.375,0
9.7,97,1.400021527,2.9375,1.357292,339.375,0
9.8,98,1.409276513,2.9375,1.357292,339.375,0
9.9,99,1.418495043,2.9375,1.357292,339.375,0
10,100,1.427662465,2.9375,1.357292,339.375,0
10.1,101,1.436756701,2.9375,1.357292,339.375,0
10.2,102,1.445733901,2.9375,1.357292,339.375,0
10.3,103,1.454588304,2.9375,1.357292,339.375,0
10.4,104,1.463433667,2.9375,1.357292,339.375,0
10.5,105,1.472213163,2.9375,1.357292,339.375,0
10.6,106,1.480916132,2.9375,1.357292,339.375,0
10.7,107,1.489497208,2.9375,1.357292,339.375,0
10.8,108,1.498002626,2.9375,1.357292,339.375,0
10.9,109,1.506402076,2.9375,1.357292,339.375,0
11,110,1.51474927,2.9375,1.357292,339.375,0
11.1,111,1.523068696,2.9375,1.357292,339.375,0
11.2,112,1.531324135,2.9375,1.357292,339.375,0
11.3,113,1.539507532,2.9375,1.357292,339.375,0
11.4,114,1.5476186,2.9375,1.357292,339.375,0
11.5,115,1.555657246,2.9375,1.357292,339.375,0
