time,time step,concentration,inlet concentration,volume flow rate,inlet temperature,initial concentration
0,0,0,2.1875,0.738542,348.125,0
0.1,1,0.002972192,2.1875,0.738542,348.125,0
0.2,2,0.008385085,2.1875,0.738542,348.125,0
0.3,3,0.015298644,2.1875,0.738542,348.125,0
0.4,4,0.022865296,2.1875,0.738542,348.125,0
0.5,5,0.030765713,2.1875,0.738542,348.125,0
0.6,6,0.038724719,2.1875,0.738542,348.125,0
0.7,7,0.046912961,2.1875,0.738542,348.125,0
0.8,8,0.055062423,2.1875,0.738542,348.125,0
0.9,9,0.06327209,2.1875,0.738542,348.125,0
1,10,0.071532367,2.1875,0.738542,348.125,0
1.1,11,0.0797701,2.1875,0.738542,348.125,0
1.2,12,0.087960702,2.1875,0.738542,348.125,0
1.3,13,0.096145776,2.1875,0.738542,348.125,0
1.4,14,0.104294173,2.1875,0.738542,348.125,0
1.5,15,0.112409911,2.1875,0.738542,348.125,0
1.6,16,0.120468662,2.1875,0.738542,348.125,0
1.7,17,0.128496772,2.1875,0.738542,348.125,0
1.8,18,0.136493022,2.1875,0.738542,348.125,0
1.9,19,0.144454494,2.1875,0.738542,348.125,0
2,20,0.152379166,2.1875,0.738542,348.125,0
2.1,21,0.160272199,2.1875,0.738542,348.125,0
2.2,22,0.168127751,2.1875,0.738542,348.125,0
2.3,23,0.175934276,2.1875,0.738542,348.125,0
2.4,24,0.183704969,2.1875,0.738542,348.125,0
2.5,25,0.191439496,2.1875,0.738542,348.125,0
2.6,26,0.199132824,2.1875,0.738542,348.125,0
2.7,27,0.206786295,2.1875,0.738542,348.125,0
2.8,28,0.21440151,2.1875,0.738542,348.125,0
2.9,29,0.221976144,2.1875,0.738542,348.125,0
3,30,0.229510381,2.1875,0.738542,348.125,0
3.1,31,0.237005443,2.1875,0.738542,348.125,0
3.2,32,0.24446005,2.1875,0.738542,348.125,0
3.3,33,0.251877125,2.1875,0.738542,348.125,0
3.4,34,0.259254741,2.1875,0.738542,348.125,0
3.5,35,0.266592467,2.1875,0.738542,348.125,0
3.6,36,0.273891267,2.1875,0.738542,348.125,0
3.7,37,0.281148549,2.1875,0.738542,348.125,0
3.8,38,0.288370479,2.1875,0.738542,348.125,0
3.9,39,0.295551218,2.1875,0.738542,348.125,0
4,40,0.302694328,2.1875,0.738542,348.125,0
4.1,41,0.309799103,2.1875,0.738542,348.125,0
4.2,42,0.316865593,2.1875,0.738542,348.125,0
4.3,43,0.323869245,2.1875,0.738542,348.125,0
4.4,44,0.330869034,2.1875,0.738542,348.125,0
4.5,45,0.337828588,2.1875,0.738542,348.125,0
4.6,46,0.344747536,2.1875,0.738542,348.125,0
4.7,47,0.351625191,2.1875,0.738542,348.125,0
4.8,48,0.35844132,2.1875,0.738542,348.125,0
4.9,49,0.36525238,2.1875,0.738542,348.125,0
5,50,0.372023913,2.1875,0.738542,348.125,0
5.1,51,0.378755413,2.1875,0.738542,348.125,0
5.2,52,0.385447209,2.1875,0.738542,348.125,0
5.3,53,0.392113016,2.1875,0.738542,348.125,0
5.4,54,0.398736863,2.1875,0.738542,348.125,0
5.5,55,0.405321841,2.1875,0.738542,348.125,0
5.6,56,0.411854988,2.1875,0.738542,348.125,0
5.7,57,0.418374305,2.1875,0.738542,348.125,0
5.8,58,0.424855176,2.1875,0.738542,348.125,0
5.9,59,0.431283476,2.1875,0.738542,348.125,0
6,60,0.437697517,2.1875,0.738542,348.125,0
6.1,61,0.444072857,2.1875,0.738542,348.125,0
6.2,62,0.450408763,2.1875,0.738542,348.125,0
6.3,63,0.45671937,2.1875,0.738542,348.125,0
6.4,64,0.462988782,2.1875,0.738542,348.125,0
6.5,65,0.469213537,2.1875,0.738542,348.125,0
6.6,66,0.475419974,2.1875,0.738542,348.125,0
6.7,67,0.481586345,2.1875,0.738542,348.125,0
6.8,68,0.487704425,2.1875,0.738542,348.125,0
6.9,69,0.493807858,2.1875,0.738542,348.125,0
7,70,0.499874442,2.1875,0.738542,348.125,0
7.1,71,0.505890749,2.1875,0.738542,348.125,0
7.2,72,0.511846843,2.1875,0.738542,348.125,0
7.3,73,0.517775566,2.1875,0.738542,348.125,0
7.4,74,0.523676644,2.1875,0.738542,348.125,0
7.5,75,0.529525423,2.1875,0.738542,348.125,0
7.6,76,0.535370382,2.1875,0.738542,348.125,0
7.7,77,0.541176293,2.1875,0.738542,348.125,0
7.8,78,0.546963158,2.1875,0.738542,348.125,0
7.9,79,0.552695535,2.1875,0.738542,348.125,0
8,80,0.558404869,2.1875,0.738542,348.125,0
8.1,81,0.564096964,2.1875,0.738542,348.125,0
8.2,82,0.569762639,2.1875,0.738542,348.125,0
8.3,83,0.575396943,2.1875,0.738542,348.125,0
8.4,84,0.580999017,2.1875,0.738542,348.125,0
8.5,85,0.586520761,2.1875,0.738542,348.125,0
8.6,86,0.592007233,2.1875,0.738542,348.125,0
8.7,87,0.597465143,2.1875,0.738542,348.125,0
8.8,88,0.602927292,2.1875,0.738542,348.125,0
8.9,89,0.608377296,2.1875,0.738542,348.125,0
9,90,0.613801276,2.1875,0.738542,348.125,0
9.1,91,0.619147007,2.1875,0.738542,348.125,0
9.2,92,0.624481392,2.1875,0.738542,348.125,0
9.3,93,0.62981455,2.1875,0.738542,348.125,0
9.4,94,0.635096977,2.1875,0.738542,348.125,0
9.5,95,0.640348487,2.1875,0.738542,348.125,0
9.6,96,0.645578415,2.1875,0.738542,348.125,0
9.7,97,0.650791158,2.1875,0.738542,348.125,0
9.8,98,0.655979165,2.1875,0.738542,348.125,0
9.9,99,0.661116077,2.1875,0.738542,348.125,0
10,100,0.666235313,2.1875,0.738542,348.125,0
10.1,101,0.671335902,2.1875,0.738542,348.125,0
10.2,102,0.676399641,2.1875,0.738542,348.125,0
10.3,103,0.681444482,2.1875,0.738542,348.125,0
10.4,104,0.686461254,2.1875,0.738542,348.125,0
10.5,105,0.691449874,2.1875,0.738542,348.125,0
10.6,106,0.696402233,2.1875,0.738542,348.125,0
10.7,107,0.70133547,2.1875,0.738542,348.125,0
10.8,108,0.706241878,2.1875,0.738542,348.125,0
10.9,109,0.711120587,2.1875,0.738542,348.125,0
11,110,0.715972651,2.1875,0.738542,348.125,0
11.1,111,0.720789624,2.1875,0.738542,348.125,0
11.2,112,0.725546693,2.1875,0.738542,348.125,0
11.3,113,0.730273379,2.1875,0.738542,348.125,0
11.4,114,0.734975523,2.1875,0.738542,348.125,0
11.5,115,0.739653176,2.1875,0.738542,348.125,0
11.6,116,0.744333685,2.1875,0.738542,348.125,0
11.7,117,0.748961984,2.1875,0.738542,348.125,0
11.8,118,0.753590805,2.1875,0.738542,348.125,0
11.9,119,0.758207989,2.1875,0.738542,348.125,0
12,120,0.762802714,2.1875,0.738542,348.125,0
12.1,121,0.767371973,2.1875,0.738542,348.125,0
12.2,122,0.771914969,2.1875,0.738542,348.125,0
12.3,123,0.776431523,2.1875,0.738542,348.125,0
12.4,124,0.7809227,2.1875,0.738542,348.125,0
12.5,125,0.785388493,2.1875,0.738542,348.125,0
12.6,126,0.789829568,2.1875,0.738542,348.125,0
12.7,127,0.794224198,2.1875,0.738542,348.125,0
12.8,128,0.798613377,2.1875,0.738542,348.125,0
12.9,129,0.80298294,2.1875,0.738542,348.125,0
13,130,0.807328536,2.1875,0.738542,348.125,0
13.1,131,0.811649934,2.1875,0.738542,348.125,0
13.2,132,0.815947273,2.1875,0.738542,348.125,0
13.3,133,0.820220896,2.1875,0.738542,348.125,0
13.4,134,0.824470977,2.1875,0.738542,348.125,0
13.5,135,0.828697612,2.1875,0.738542,348.125,0
13.6,136,0.832900613,2.1875,0.738542,348.125,0
13.7,137,0.837080223,2.1875,0.738542,348.125,0
13.8,138,0.841236592,2.1875,0.738542,348.125,0
13.9,139,0.845363515,2.1875,0.738542,348.125,0
14,140,0.849474836,2.1875,0.738542,348.125,0
14.1,141,0.853563426,2.1875,0.738542,348.125,0
14.2,142,0.857630246,2.1875,0.738542,348.125,0
14.3,143,0.861653464,2.1875,0.738542,348.125,0
14.4,144,0.865665402,2.1875,0.738542,348.125,0
14.5,145,0.869665692,2.1875,0.738542,348.125,0
14.6,146,0.873644102,2.1875,0.738542,348.125,0
14.7,147,0.87760057,2.1875,0.738542,348.125,0
14.8,148,0.881525059,2.1875,0.738542,348.125,0
14.9,149,0.885434555,2.1875,0.738542,348.125,0
15,150,0.889326405,2.1875,0.738542,348.125,0
15.1,151,0.893181856,2.1875,0.738542,348.125,0
15.2,152,0.89703077,2.1875,0.738542,348.125,0
15.3,153,0.900859362,2.1875,0.738542,348.125,0
15.4,154,0.904666945,2.1875,0.738542,348.125,0
15.5,155,0.908447365,2.1875,0.738542,348.125,0
15.6,156,0.912212763,2.1875,0.738542,348.125,0
15.7,157,0.915958111,2.1875,0.738542,348.125,0
15.8,158,0.919674057,2.1875,0.738542,348.125,0
15.9,159,0.923375968,2.1875,0.738542,348.125,0
16,160,0.927060898,2.1875,0.738542,348.125,0
16.1,161,0.930725194,2.1875,0.738542,348.125,0
16.2,162,0.934368968,2.1875,0.738542,348.125,0
16.3,163,0.937992633,2.1875,0.738542,348.125,0
16.4,164,0.941596709,2.1875,0.738542,348.125,0
16.5,165,0.945167786,2.1875,0.738542,348.125,0
16.6,166,0.948705194,2.1875,0.738542,348.125,0
16.7,167,0.952219328,2.1875,0.738542,348.125,0
16.8,168,0.955742988,2.1875,0.738542,348.125,0
16.9,169,0.959252022,2.1875,0.738542,348.125,0
17,170,0.962742106,2.1875,0.738542,348.125,0
17.1,171,0.966204271,2.1875,0.738542,348.125,0
17.2,172,0.969652886,2.1875,0.738542,348.125,0
17.3,173,0.973058654,2.1875,0.738542,348.125,0
17.4,174,0.976469227,2.1875,0.738542,348.125,0
17.5,175,0.979865066,2.1875,0.738542,348.125,0
17.6,176,0.983242634,2.1875,0.738542,348.125,0
17.7,177,0.986601047,2.1875,0.738542,348.125,0
17.8,178,0.989941032,2.1875,0.738542,348.125,0
17.9,179,0.993262782,2.1875,0.738542,348.125,0
18,180,0.996566207,2.1875,0.738542,348.125,0
18.1,181,0.999852049,2.1875,0.738542,348.125,0
18.2,182,1.003114582,2.1875,0.738542,348.125,0
18.3,183,1.006339285,2.1875,0.738542,348.125,0
18.4,184,1.009556737,2.1875,0.738542,348.125,0
18.5,185,1.012772052,2.1875,0.738542,348.125,0
18.6,186,1.015971051,2.1875,0.738542,348.125,0
18.7,187,1.019152378,2.1875,0.738542,348.125,0
18.8,188,1.022316271,2.1875,0.738542,348.125,0
18.9,189,1.025451264,2.1875,0.738542,348.125,0
19,190,1.028580357,2.1875,0.738542,348.125,0
19.1,191,1.03168831,2.1875,0.738542,348.125,0
19.2,192,1.034783879,2.1875,0.738542,348.125,0
19.3,193,1.037863245,2.1875,0.738542,348.125,0
19.4,194,1.04092079,2.1875,0.738542,348.125,0
19.5,195,1.04394311,2.1875,0.738542,348.125,0
19.6,196,1.04694596,2.1875,0.738542,348.125,0
19.7,197,1.049933138,2.1875,0.738542,348.125,0
19.8,198,1.05291408,2.1875,0.738542,348.125,0
19.9,199,1.05589329,2.1875,0.738542,348.125,0
20,200,1.05885953,2.1875,0.738542,348.125,0
20.1,201,1.061809519,2.1875,0.738542,348.125,0
20.2,202,1.0647434,2.1875,0.738542,348.125,0
20.3,203,1.067660793,2.1875,0.738542,348.125,0
20.4,204,1.070562398,2.1875,0.738542,348.125,0
20.5,205,1.073448471,2.1875,0.738542,348.125,0
20.6,206,1.076312477,2.1875,0.738542,348.125,0
20.7,207,1.07916502,2.1875,0.738542,348.125,0
20.8,208,1.082004312,2.1875,0.738542,348.125,0
20.9,209,1.084828653,2.1875,0.738542,348.125,0
21,210,1.087637716,2.1875,0.738542,348.125,0
21.1,211,1.090427737,2.1875,0.738542,348.125,0
21.2,212,1.093206656,2.1875,0.738542,348.125,0
21.3,213,1.09597044,2.1875,0.738542,348.125,0
21.4,214,1.098719546,2.1875,0.738542,348.125,0
21.5,215,1.101444176,2.1875,0.738542,348.125,0
21.6,216,1.104157617,2.1875,0.738542,348.125,0
21.7,217,1.106856846,2.1875,0.738542,348.125,0
21.8,218,1.109547912,2.1875,0.738542,348.125,0
21.9,219,1.112225158,2.1875,0.738542,348.125,0
22,220,1.114887985,2.1875,0.738542,348.125,0
22.1,221,1.117526816,2.1875,0.738542,348.125,0
22.2,222,1.120160354,2.1875,0.738542,348.125,0
22.3,223,1.122780286,2.1875,0.738542,348.125,0
22.4,224,1.125366948,2.1875,0.738542,348.125,0
22.5,225,1.127952134,2.1875,0.738542,348.125,0
22.6,226,1.130530291,2.1875,0.738542,348.125,0
22.7,227,1.133095397,2.1875,0.738542,348.125,0
22.8,228,1.135646746,2.1875,0.738542,348.125,0
22.9,229,1.138184352,2.1875,0.738542,348.125,0
23,230,1.140704288,2.1875,0.738542,348.125,0
23.1,231,1.143203413,2.1875,0.738542,348.125,0
23.2,232,1.145694312,2.1875,0.738542,348.125,0
23.3,233,1.148177961,2.1875,0.738542,348.125,0
23.4,234,1.150631019,2.1875,0.738542,348.125,0
23.5,235,1.153082128,2.1875,0.738542,348.125,0
23.6,236,1.155515968,2.1875,0.738542,348.125,0
23.7,237,1.157945771,2.1875,0.738542,348.125,0
23.8,238,1.16036119,2.1875,0.738542,348.125,0
23.9,239,1.162750107,2.1875,0.738542,348.125,0
24,240,1.165123508,2.1875,0.738542,348.125,0
24.1,241,1.167496334,2.1875,0.738542,348.125,0
24.2,242,1.169862765,2.1875,0.738542,348.125,0
24.3,243,1.172218846,2.1875,0.738542,348.125,0
24.4,244,1.174562495,2.1875,0.738542,348.125,0
24.5,245,1.176893403,2.1875,0.738542,348.125,0
24.6,246,1.17920825,2.1875,0.738542,348.125,0
24.7,247,1.181506231,2.1875,0.738542,348.125,0
24.8,248,1.183795716,2.1875,0.738542,348.125,0
24.9,249,1.186076874,2.1875,0.738542,348.125,0
25,250,1.188345989,2.1875,0.738542,348.125,0
25.1,251,1.190595346,2.1875,0.738542,348.125,0
25.2,252,1.192824198,2.1875,0.738542,348.125,0
25.3,253,1.195039135,2.1875,0.738542,348.125,0
25.4,254,1.197249181,2.1875,0.738542,348.125,0
25.5,255,1.199457026,2.1875,0.738542,348.125,0
25.6,256,1.201656018,2.1875,0.738542,348.125,0
25.7,257,1.203804341,2.1875,0.738542,348.125,0
25.8,258,1.205976621,2.1875,0.738542,348.125,0
25.9,259,1.208126882,2.1875,0.738542,348.125,0
26,260,1.210262854,2.1875,0.738542,348.125,0
26.1,261,1.212397643,2.1875,0.738542,348.125,0
26.2,262,1.214526335,2.1875,0.738542,348.125,0
26.3,263,1.216645851,2.1875,0.738542,348.125,0
26.4,264,1.218754112,2.1875,0.738542,348.125,0
26.5,265,1.220847827,2.1875,0.738542,348.125,0
26.6,266,1.222933225,2.1875,0.738542,348.125,0
26.7,267,1.225007571,2.1875,0.738542,348.125,0
26.8,268,1.227070811,2.1875,0.738542,348.125,0
26.9,269,1.22912307,2.1875,0.738542,348.125,0
27,270,1.231161468,2.1875,0.738542,348.125,0
27.1,271,1.233178064,2.1875,0.738542,348.125,0
27.2,272,1.235191255,2.1875,0.738542,348.125,0
27.3,273,1.237194688,2.1875,0.738542,348.125,0
27.4,274,1.239156129,2.1875,0.738542,348.125,0
27.5,275,1.241141331,2.1875,0.738542,348.125,0
27.6,276,1.243120853,2.1875,0.738542,348.125,0
27.7,277,1.245090111,2.1875,0.738542,348.125,0
27.8,278,1.247013275,2.1875,0.738542,348.125,0
27.9,279,1.248950135,2.1875,0.738542,348.125,0
28,280,1.250873363,2.1875,0.738542,348.125,0
28.1,281,1.252791605,2.1875,0.738542,348.125,0
28.2,282,1.254672833,2.1875,0.738542,348.125,0
28.3,283,1.256577499,2.1875,0.738542,348.125,0
28.4,284,1.258476704,2.1875,0.738542,348.125,0
28.5,285,1.260331631,2.1875,0.738542,348.125,0
28.6,286,1.262206848,2.1875,0.738542,348.125,0
28.7,287,1.264076211,2.1875,0.738542,348.125,0
28.8,288,1.265902433,2.1875,0.738542,348.125,0
28.9,289,1.267736158,2.1875,0.738542,348.125,0
29,290,1.269562074,2.1875,0.738542,348.125,0
29.1,291,1.271383467,2.1875,0.738542,348.125,0
29.2,292,1.273196651,2.1875,0.738542,348.125,0
29.3,293,1.274975723,2.1875,0.738542,348.125,0
29.4,294,1.276774362,2.1875,0.738542,348.125,0
29.5,295,1.278536778,2.1875,0.738542,348.125,0
29.6,296,1.280285686,2.1875,0.738542,348.125,0
29.7,297,1.282051553,2.1875,0.738542,348.125,0
29.8,298,1.283814333,2.1875,0.738542,348.125,0
29.9,299,1.285566322,2.1875,0.738542,348.125,0
30,300,1.287300415,2.1875,0.738542,348.125,0
30.1,301,1.289024646,2.1875,0.738542,348.125,0
30.2,302,1.290739907,2.1875,0.738542,348.125,0
30.3,303,1.292446168,2.1875,0.738542,348.125,0
30.4,304,1.294143513,2.1875,0.738542,348.125,0
30.5,305,1.295840273,2.1875,0.738542,348.125,0
30.6,306,1.297502204,2.1875,0.738542,348.125,0
30.7,307,1.29915332,2.1875,0.738542,348.125,0
30.8,308,1.3007966,2.1875,0.738542,348.125,0
30.9,309,1.302431706,2.1875,0.738542,348.125,0
31,310,1.304058961,2.1875,0.738542,348.125,0
31.1,311,1.30567298,2.1875,0.738542,348.125,0
31.2,312,1.307101393,2.1875,0.738542,348.125,0
31.3,313,1.308514978,2.1875,0.738542,348.125,0
31.4,314,1.309924747,2.1875,0.738542,348.125,0
31.5,315,1.311327999,2.1875,0.738542,348.125,0
31.6,316,1.312726165,2.1875,0.738542,348.125,0
31.7,317,1.314118595,2.1875,0.738542,348.125,0
31.8,318,1.315505934,2.1875,0.738542,348.125,0
31.9,319,1.316889142,2.1875,0.738542,348.125,0
32,320,1.318265508,2.1875,0.738542,348.125,0
32.1,321,1.319634955,2.1875,0.738542,348.125,0
32.2,322,1.320999112,2.1875,0.738542,348.125,0
32.3,323,1.322355871,2.1875,0.738542,348.125,0
32.4,324,1.323705873,2.1875,0.738542,348.125,0
32.5,325,1.325050582,2.1875,0.738542,348.125,0
32.6,326,1.326390813,2.1875,0.738542,348.125,0
32.7,327,1.327726588,2.1875,0.738542,348.125,0
32.8,328,1.329055836,2.1875,0.738542,348.125,0
32.9,329,1.33037922,2.1875,0.738542,348.125,0
33,330,1.331696779,2.1875,0.738542,348.125,0
33.1,331,1.333009147,2.1875,0.738542,348.125,0
33.2,332,1.334315332,2.1875,0.738542,348.125,0
33.3,333,1.335616408,2.1875,0.738542,348.125,0
33.4,334,1.33691305,2.1875,0.738542,348.125,0
33.5,335,1.338205036,2.1875,0.738542,348.125,0
33.6,336,1.339491688,2.1875,0.738542,348.125,0
33.7,337,1.340772199,2.1875,0.738542,348.125,0
33.8,338,1.34204629,2.1875,0.738542,348.125,0
33.9,339,1.343313172,2.1875,0.738542,348.125,0
34,340,1.344573427,2.1875,0.738542,348.125,0
34.1,341,1.345828705,2.1875,0.738542,348.125,0
34.2,342,1.347079604,2.1875,0.738542,348.125,0
34.3,343,1.348325273,2.1875,0.738542,348.125,0
34.4,344,1.349566336,2.1875,0.738542,348.125,0
34.5,345,1.35080123,2.1875,0.738542,348.125,0
34.6,346,1.352029106,2.1875,0.738542,348.125,0
34.7,347,1.353251722,2.1875,0.738542,348.125,0
34.8,348,1.354389476,2.1875,0.738542,348.125,0
34.9,349,1.355597579,2.1875,0.738542,348.125,0
35,350,1.356805068,2.1875,0.738542,348.125,0
35.1,351,1.358008144,2.1875,0.738542,348.125,0
35.2,352,1.359204574,2.1875,0.738542,348.125,0
35.3,353,1.360393483,2.1875,0.738542,348.125,0
35.4,354,1.361577175,2.1875,0.738542,348.125,0
35.5,355,1.362755863,2.1875,0.738542,348.125,0
35.6,356,1.363930071,2.1875,0.738542,348.125,0
35.7,357,1.365099716,2.1875,0.738542,348.125,0
35.8,358,1.366264309,2.1875,0.738542,348.125,0
35.9,359,1.367424385,2.1875,0.738542,348.125,0
36,360,1.368579402,2.1875,0.738542,348.125,0
36.1,361,1.369730157,2.1875,0.738542,348.125,0
36.2,362,1.37087595,2.1875,0.738542,348.125,0
36.3,363,1.372015147,2.1875,0.738542,348.125,0
36.4,364,1.373149608,2.1875,0.738542,348.125,0
36.5,365,1.374204271,2.1875,0.738542,348.125,0
36.6,366,1.375250239,2.1875,0.738542,348.125,0
36.7,367,1.376291032,2.1875,0.738542,348.125,0
36.8,368,1.377326283,2.1875,0.738542,348.125,0
36.9,369,1.378357838,2.1875,0.738542,348.125,0
37,370,1.37938404,2.1875,0.738542,348.125,0
37.1,371,1.380406579,2.1875,0.738542,348.125,0
37.2,372,1.381425193,2.1875,0.738542,348.125,0
37.3,373,1.382511745,2.1875,0.738542,348.125,0
37.4,374,1.383598471,2.1875,0.738542,348.125,0
37.5,375,1.384681095,2.1875,0.738542,348.125,0
37.6,376,1.385759288,2.1875,0.738542,348.125,0
37.7,377,1.386831083,2.1875,0.738542,348.125,0
37.8,378,1.387898126,2.1875,0.738542,348.125,0
37.9,379,1.388960117,2.1875,0.738542,348.125,0
38,380,1.390017222,2.1875,0.738542,348.125,0
38.1,381,1.391069271,2.1875,0.738542,348.125,0
38.2,382,1.392117427,2.1875,0.738542,348.125,0
38.3,383,1.393161309,2.1875,0.738542,348.125,0
38.4,384,1.394200164,2.1875,0.738542,348.125,0
38.5,385,1.395233272,2.1875,0.738542,348.125,0
38.6,386,1.396261269,2.1875,0.738542,348.125,0
38.7,387,1.397284068,2.1875,0.738542,348.125,0
38.8,388,1.398304669,2.1875,0.738542,348.125,0
38.9,389,1.399321113,2.1875,0.738542,348.125,0
39,390,1.400333026,2.1875,0.738542,348.125,0
39.1,391,1.40133882,2.1875,0.738542,348.125,0
39.2,392,1.40233938,2.1875,0.738542,348.125,0
39.3,393,1.403335073,2.1875,0.738542,348.125,0
39.4,394,1.404326549,2.1875,0.738542,348.125,0
39.5,395,1.405314024,2.1875,0.738542,348.125,0
39.6,396,1.406297343,2.1875,0.738542,348.125,0
39.7,397,1.407276584,2.1875,0.738542,348.125,0
39.8,398,1.408251586,2.1875,0.738542,348.125,0
39.9,399,1.409221876,2.1875,0.738542,348.125,0
40,400,1.410124438,2.1875,0.738542,348.125,0
40.1,401,1.41108209,2.1875,0.738542,348.125,0
40.2,402,1.412039537,2.1875,0.738542,348.125,0
40.3,403,1.412993641,2.1875,0.738542,348.125,0
40.4,404,1.413881109,2.1875,0.738542,348.125,0
40.5,405,1.414823126,2.1875,0.738542,348.125,0
40.6,406,1.415763171,2.1875,0.738542,348.125,0
40.7,407,1.416699832,2.1875,0.738542,348.125,0
40.8,408,1.417632198,2.1875,0.738542,348.125,0
40.9,409,1.418560219,2.1875,0.738542,348.125,0
41,410,1.419482933,2.1875,0.738542,348.125,0
41.1,411,1.420400457,2.1875,0.738542,348.125,0
41.2,412,1.421314293,2.1875,0.738542,348.125,0
41.3,413,1.422224474,2.1875,0.738542,348.125,0
41.4,414,1.423131104,2.1875,0.738542,348.125,0
41.5,415,1.424033446,2.1875,0.738542,348.125,0
41.6,416,1.424872763,2.1875,0.738542,348.125,0
41.7,417,1.425762452,2.1875,0.738542,348.125,0
41.8,418,1.426650207,2.1875,0.738542,348.125,0
41.9,419,1.427534501,2.1875,0.738542,348.125,0
42,420,1.428358412,2.1875,0.738542,348.125,0
42.1,421,1.429175888,2.1875,0.738542,348.125,0
42.2,422,1.42998888,2.1875,0.738542,348.125,0
42.3,423,1.430798243,2.1875,0.738542,348.125,0
42.4,424,1.43160442,2.1875,0.738542,348.125,0
42.5,425,1.432406927,2.1875,0.738542,348.125,0
42.6,426,1.433206637,2.1875,0.738542,348.125,0
42.7,427,1.434002674,2.1875,0.738542,348.125,0
42.8,428,1.434795828,2.1875,0.738542,348.125,0
42.9,429,1.435641526,2.1875,0.738542,348.125,0
43,430,1.436486967,2.1875,0.738542,348.125,0
